location,company,avg_salary,avg_rating
"Aberdeen, MD 21001",Emcube Technlogy,126186.27654150198,0.0
"Addison, TX 75001",TIA Infotek inc,102076.0,0.0
"Aiken, SC",Savannah River National Laboratory,168558.82962450592,4.2
"Alameda, CA 94501",ITCommence Inc,168558.82962450592,4.0
"Albuquerque, NM 87101",Firebird AST,168558.82962450592,4.2
"Alexandria, VA 22301","Applied Research Associates, Inc",168558.82962450592,4.0
"Allegan, MI 49010",Perrigo,168558.82962450592,3.5
"Alpharetta, GA 30004",Flex Employee Services,202800.0,4.0
"Alpharetta, GA 30022",Global Payment Holding Company,168558.82962450592,3.3
"Anacostia, DC",Syntelligent Analytic Solutions,111000.0,3.6
"Ann Arbor, MI 48108",Thomson Reuters,200000.0,3.9
"Annapolis Junction, MD",Parsons,169100.0,3.9
"Annapolis Junction, MD",Shield Consulting Solutions,168558.82962450592,4.0
"Annapolis Junction, MD 20701",CyberTrend Engineering LLC,168558.82962450592,0.0
"Annapolis Junction, MD 20701",Everwatch,187512.0,5.0
"Arden Hills, MN",Boston Scientific Corporation,150350.0,3.9
"Arlington, VA",Amazon,174925.0,3.5
"Arlington, VA","Amazon Web Services, Inc.",174925.0,3.4
"Arlington, VA",Deloitte,168558.82962450592,3.9
"Arlington, VA",Revalize,130000.0,1.2
"Arlington, VA 22201","Dfuse Technologies, Inc.",150000.0,0.0
"Arlington, VA 22201",Elder Research,168558.82962450592,4.6
"Arlington, VA 22201",Leidos,208962.5,3.7
"Arlington, VA 22203","The Cadmus Group, Inc.",150000.0,3.6
"Ashburn, VA 20147",ManTech,168558.82962450592,3.9
"Atlanta, GA",AT&T,215650.0,3.7
"Atlanta, GA",Amazon,188600.0,3.5
"Atlanta, GA","Amazon Web Services, Inc.",188600.0,3.4
"Atlanta, GA",Cargill,168558.82962450592,3.7
"Atlanta, GA",CoStar Group,168558.82962450592,2.8
"Atlanta, GA",Delta Airlines,168558.82962450592,4.2
"Atlanta, GA",GAINSystems,168558.82962450592,1.0
"Atlanta, GA",Sage,168558.82962450592,3.4
"Atlanta, GA 30303",McKinsey & Company,168558.82962450592,4.2
"Atlanta, GA 30305",Capgemini,168558.82962450592,3.7
"Atlanta, GA 30308",Honeywell,168558.82962450592,3.7
"Atlanta, GA 30309",Stantec,168558.82962450592,3.6
"Atlanta, GA 30319",AT&T,156400.0,3.7
"Atlanta, GA 30339",Home Depot / THD,168558.82962450592,3.7
"Aurora, CO 80011",Stratagem Group LLC,180000.0,5.0
"Austin, TX",Amazon,168558.82962450592,3.5
"Austin, TX",Annapurna Labs (U.S.) Inc.,168558.82962450592,3.4
"Austin, TX",Charles Schwab,143450.0,3.9
"Austin, TX",Electronic Arts,168558.82962450592,3.8
"Austin, TX",Google,177500.0,4.3
"Austin, TX",SEON Technologies,168558.82962450592,3.2
"Austin, TX 78701",CVS Health,139050.0,3.2
"Austin, TX 78701",Dew Software,114400.0,0.0
"Austin, TX 78701",NVIDIA,217750.0,4.2
"Austin, TX 78746",Tesla,168558.82962450592,3.3
"Bala-Cynwyd, PA 19004",The Pep Boys Manny Moe & Jack LLC,168558.82962450592,3.1
"Baltimore, MD 21201",State of Maryland,70175.5,3.6
"Basking Ridge, NJ",Verizon,175750.0,3.8
"Baton Rouge, LA 70808",Louisiana State University,168558.82962450592,4.1
"Beavercreek, OH 45431",Riverside Research Institute,95000.0,3.9
"Beaverton, OR 97008",Cerium Networks Inc,140000.0,3.1
"Bedford, MA 01730","Oxipital AI, Inc.",168558.82962450592,0.0
"Bellevue, WA",American Express Global Business Travel,172532.0,3.6
"Bellevue, WA",Chewy,157000.0,2.8
"Bellevue, WA",Snowflake,193500.0,3.6
"Bellevue, WA 98005",Meta,168060.6,4.12
"Bellevue, WA 98006","T-Mobile USA, Inc.",121000.0,3.7
"Belmont, CA",Volkswagen Group of America - Chattanooga Operations,155000.0,0.0
"Bentonville, AR 72716",Walmart,165000.0,3.4
"Bethesda, MD",Aledade,222500.0,3.1
"Bethesda, MD",Base-2 Solutions,184083.1325,3.3
"Bethesda, MD 20814",Sunayu,168558.82962450592,0.0
"Boise, ID 83702",Simplot,168558.82962450592,3.6
"Boston, MA","Alexion Pharmaceuticals,Inc.",168558.82962450592,3.5
"Boston, MA",Amazon,161250.0,3.5
"Boston, MA","Amazon Web Services, Inc.",161250.0,3.4
"Boston, MA",AstraZeneca,168558.82962450592,4.0
"Boston, MA",Costello Medical,86500.0,3.3
"Boston, MA",Flywire,168558.82962450592,3.8
"Boston, MA",Jellyfish,168558.82962450592,3.6
